#{"t_start": 1747102976.8320699, "env_id": "None"}
r,l,t
-14.29,175,275.831668
-8.23,102,276.96689
-9.43,146,277.635799
-4.21,76,277.694508
-13.51,170,277.951904
-13.51,176,278.347637
-15.77,192,278.471763
-11.61,130,279.078825
-11.39,179,279.207098
-17.65,187,279.451343
-16.73,130,279.669186
-19.17,192,280.502351
